Rok,IČO,Název IČO,IČZ,Název IČZ,IČP,Název IČP,"Kód nasmlouvané odbornosti",Název odbornosti,Typ nasmlouvané odbornosti,"Kód ZP",Parametr,"Hodnota 2023"
2023,73634085,Nemocnice Milosrdných sester sv. Karla Boromejského v Praze,01002000,Nem.Mil.sester sv.K.Boromej.v Praze,01002032,CHIP,7I8,resuscitační lůžková péče - ARO - typ I,V,111,Počet lůžek,5
2023,73634085,Nemocnice Milosrdných sester sv. Karla Boromejského v Praze,01002000,Nem.Mil.sester sv.K.Boromej.v Praze,01002032,CHIP,7I8,resuscitační lůžková péče - ARO - typ I,V,111,Počet OD,x
2023,73634085,Nemocnice Milosrdných sester sv. Karla Boromejského v Praze,01002000,Nem.Mil.sester sv.K.Boromej.v Praze,01002032,CHIP,5T1,intenzivní LP chirurgie - typ T,H,201,Počet lůžek,5
2023,73634085,Nemocnice Milosrdných sester sv. Karla Boromejského v Praze,01002000,Nem.Mil.sester sv.K.Boromej.v Praze,01002032,CHIP,5T1,intenzivní LP chirurgie - typ T,H,201,Počet OD,x
2023,73634085,Nemocnice Milosrdných sester sv. Karla Boromejského v Praze,01002000,Nem.Mil.sester sv.K.Boromej.v Praze,01002032,CHIP,5I1,intenzivní LP chirurgie - typ I,,213,Počet lůžek,5
2023,73634085,Nemocnice Milosrdných sester sv. Karla Boromejského v Praze,01002000,Nem.Mil.sester sv.K.Boromej.v Praze,01002032,CHIP,5I1,intenzivní LP chirurgie - typ I,,213,Počet OD,x
2023,73634085,Nemocnice Milosrdných sester sv. Karla Boromejského v Praze,01002000,Nem.Mil.sester sv.K.Boromej.v Praze,01002032,CHIP,5I1,intenzivní LP chirurgie - typ I,,209,Počet lůžek,x
2023,73634085,Nemocnice Milosrdných sester sv. Karla Boromejského v Praze,01002000,Nem.Mil.sester sv.K.Boromej.v Praze,01002032,CHIP,5I1,intenzivní LP chirurgie - typ I,,211,Počet OD,137
2023,73634085,Nemocnice Milosrdných sester sv. Karla Boromejského v Praze,01002000,Nem.Mil.sester sv.K.Boromej.v Praze,01002032,CHIP,5I1,intenzivní LP chirurgie - typ I,V,205,Počet OD,19
2023,73634085,Nemocnice Milosrdných sester sv. Karla Boromejského v Praze,01002000,Nem.Mil.sester sv.K.Boromej.v Praze,01002032,CHIP,5I1,intenzivní LP chirurgie - typ I,,211,Počet lůžek,5
2023,73634085,Nemocnice Milosrdných sester sv. Karla Boromejského v Praze,01002000,Nem.Mil.sester sv.K.Boromej.v Praze,01002032,CHIP,7I8,resuscitační lůžková péče - ARO - typ I,,211,Počet lůžek,5
2023,73634085,Nemocnice Milosrdných sester sv. Karla Boromejského v Praze,01002000,Nem.Mil.sester sv.K.Boromej.v Praze,01002032,CHIP,7I8,resuscitační lůžková péče - ARO - typ I,,211,Počet OD,x
2023,73634085,Nemocnice Milosrdných sester sv. Karla Boromejského v Praze,01002000,Nem.Mil.sester sv.K.Boromej.v Praze,01002032,CHIP,5I1,intenzivní LP chirurgie - typ I,H,111,Počet OD,691
2023,73634085,Nemocnice Milosrdných sester sv. Karla Boromejského v Praze,01002000,Nem.Mil.sester sv.K.Boromej.v Praze,01002032,CHIP,5I1,intenzivní LP chirurgie - typ I,H,111,Počet lůžek,5
2023,73634085,Nemocnice Milosrdných sester sv. Karla Boromejského v Praze,01002000,Nem.Mil.sester sv.K.Boromej.v Praze,01002045,Chirurgické oddělení,5H1,akutní LP chirurgie - typ H,,209,Počet OD,50
2023,73634085,Nemocnice Milosrdných sester sv. Karla Boromejského v Praze,01002000,Nem.Mil.sester sv.K.Boromej.v Praze,01002045,Chirurgické oddělení,5H1,akutní LP chirurgie - typ H,V,205,Počet OD,167
2023,73634085,Nemocnice Milosrdných sester sv. Karla Boromejského v Praze,01002000,Nem.Mil.sester sv.K.Boromej.v Praze,01002045,Chirurgické oddělení,5H1,akutní LP chirurgie - typ H,,213,Počet OD,8
2023,73634085,Nemocnice Milosrdných sester sv. Karla Boromejského v Praze,01002000,Nem.Mil.sester sv.K.Boromej.v Praze,01002045,Chirurgické oddělení,5H1,akutní LP chirurgie - typ H,H,111,Počet OD,"3,039"
2023,73634085,Nemocnice Milosrdných sester sv. Karla Boromejského v Praze,01002000,Nem.Mil.sester sv.K.Boromej.v Praze,01002045,Chirurgické oddělení,5H1,akutní LP chirurgie - typ H,H,207,Počet OD,866
