Nazev,Adresa_plna,Popis,Lon,Lat,Group_ID,Marker_Color,Marker_Symbol,URL,Feature_ID,Zrizovatel,Pocet_luzek,Pocet_lekaru,Pocet_sester,Pocet_hospitalizaci,Pocet_ambulantnich_vysetreni
Nemocnice Humpolec,"Nemocnice Humpolec, 5. května 319, 396 01 Humpolec, Czech Republic","Zřizovatel: Soukromý vlastník, MEDIRECO a.s.
Počet lůžek: 104
Počet lékařů: /
Počet sester: /
Počet hospitalizací: / 
Počet ambulantních vyšetření: /",15.362908,49.539665,3135952126,#3cc954,,,464954003,"Soukromý vlastník, MEDIRECO a.s.",104,/,/,/,/
Nemocnice Jablonec nad Nisou,"Nemocnice Jablonec nad Nisou, Nemocniční 4446/15, 466 01 Jablonec nad Nisou, Czechia","Zřizovatel: obec 
Počet lůžek: 377 
Počet lékařů: 146 
Počet sester: 312 
Počet hospitalizací: 17199 
Počet ambulantních vyšetření: 224968",15.15903,50.729815,3650692710,#1b8893,hotel,https://or.justice.cz/ias/ui/rejstrik-firma.vysledky?subjektId=22647&typ=UPLNY,1171684630,obec,377,146,312,17199,224968
Nemocnice Jihlava,"Nemocnice Jihlava, Vrchlického, 586 01 Jihlava, Czechia","Zřizovatel: Kraj 
Počet lůžek: 649 
Počet lékařů: 218 
Počet sester: 641 
Počet hospitalizací: 24843 
Počet ambulantních vyšetření: 409037",15.569439,49.397408,3135952126,#3cc954,hotel,https://or.justice.cz/ias/ui/rejstrik-firma.vysledky?subjektId=309337&typ=UPLNY,3847902179,Kraj,649,218,641,24843,409037
Nemocnice Jindřichův Hradec,"Nemocnice Jindřichův Hradec, a.s., U Nemocnice, 377 01 Jindřichův Hradec, Czechia","Zřizovatel: kraj 
Počet lůžek: 344 
Počet lékařů: 69 
Počet sester: 177 
Počet hospitalizací: / 
Počet ambulantních vyšetření: /",15.003489,49.138997,1652591349,#ffcc00,hotel,https://or.justice.cz/ias/ui/rejstrik-firma.vysledky?subjektId=713839&typ=UPLNY,2382718790,kraj,344,69,177,/,/
Nemocnice Kadaň,"Nemocnice Kadaň, Golovinova, 432 01 Kadaň, Czechia","Zřizovatel: obec 
Počet lůžek: 230 
Počet lékařů: 50 
Počet sester: 137 
Počet hospitalizací: 9960 
Počet ambulantních vyšetření: 87661",13.270219,50.391444,1032119212,#f1ae29,hotel,https://or.justice.cz/ias/ui/rejstrik-firma.vysledky?subjektId=709235&typ=UPLNY,4252040646,obec,230,50,137,9960,87661
Nemocnice Kralupy nad Vltavou,"Nemocnice Kralupy nad Vltavou, Mostní 934, 278 01 Kralupy n. Vlt., Czechia","Zřizovatel: Soukromý vlastník - Vladimír Matoušek (prostřednictvím RHG, spol. s.r.o.)
Počet lůžek: / 
Počet lékařů: / 
Počet sester: / 
Počet hospitalizací: / 
Počet ambulantních vyšetření: /",14.31274,50.242827,1987940417,#fb6033,hotel,https://or.justice.cz/ias/ui/rejstrik-firma.vysledky?subjektId=459440&typ=UPLNY,1040670016,"Soukromý vlastník - Vladimír Matoušek (prostřednictvím RHG, spol. s.r.o.)",/,/,/,/,/
Nemocnice Kroměříž,"Nemocnice Kroměříž, Havlíčkova, 767 01 Kroměříž, Czechia","Zřizovatel: kraj 
Počet lůžek: 386 
Počet lékařů: 111 
Počet sester: 298 
Počet hospitalizací: 18147 
Počet ambulantních vyšetření: 419162",17.379686,49.291191,2799177597,#fb6033,hotel,https://or.justice.cz/ias/ui/rejstrik-firma.vysledky?subjektId=202850&typ=UPLNY,440442841,kraj,386,111,298,18147,419162
Nemocnice Kutná Hora,"Nemocnice Kutná Hora, Vojtěšská, 284 01 Kutná Hora, Czechia","Zřizovatel: Kraj 
Počet lůžek: 89 
Počet lékařů: 31 
Počet sester: 111 
Počet hospitalizací: 3605 
Počet ambulantních vyšetření: 38917",15.253288,49.945963,1987940417,#fb6033,hotel,,2507712857,Kraj,89,31,111,3605,38917
Nemocnice Kyjov,"Nemocnice Kyjov, Strážovská, 697 01 Kyjov, Czechia","Zřizovatel: kraj 
Počet lůžek: / 
Počet lékařů: 171 
Počet sester: 404 
Počet hospitalizací: / 
Počet ambulantních vyšetření: 18646",17.112132,49.008804,2451465079,#e32c31,hotel,https://or.justice.cz/ias/ui/rejstrik-firma.vysledky?subjektId=219904&typ=UPLNY,203244108,kraj,/,171,404,/,18646
Nemocnice Letovice,"Nemocnice Letovice, Pod klášterem 55/17, 679 61 Letovice, Czechia","Zřizovatel: kraj 
Počet lůžek: 120 
Počet lékařů: 12 
Počet sester: 39 
Počet hospitalizací: / 
Počet ambulantních vyšetření: /",16.579521,49.544674,2451465079,#e32c31,hotel,https://or.justice.cz/ias/ui/rejstrik-firma.vysledky?subjektId=607310&typ=UPLNY,1355538575,kraj,120,12,39,/,/
Nemocnice Litoměřice,"Nemocnice Litoměřice, Žitenická 2084, 412 01 Litoměřice, Czechia","Zřizovatel: obec 
Počet lůžek: 560 
Počet lékařů: 103 
Počet sester: 335 
Počet hospitalizací: 21054 
Počet ambulantních vyšetření: 274343",14.144623,50.540734,1032119212,#f1ae29,hotel,https://or.justice.cz/ias/ui/rejstrik-firma.vysledky?subjektId=977623&typ=UPLNY,4676738,obec,560,103,335,21054,274343
Nemocnice Louny,"Nemocnice Louny, Pod Nemocnicí, 440 01 Louny, Czechia","Zřizovatel: soukromý vlastník - AGEL a.s.
Počet lůžek: / 
Počet lékařů: / 
Počet sester: /
Počet hospitalizací: / 
Počet ambulantních vyšetření: /",13.808433,50.350482,1032119212,#f1ae29,hotel,https://or.justice.cz/ias/ui/rejstrik-firma.vysledky?subjektId=632513&typ=UPLNY,872064863,soukromý vlastník - AGEL a.s.,/,/,/,/,/
Nemocnice Mariánské Lázně,"Nemocnice Mariánské Lázně, U Nemocnice, 353 01 Mariánské Lázně, Czechia","Zřizovatel: soukromý vlastník - West Bohemia Medical Holding, a.s
Počet lůžek: 127 
Počet lékařů: / 
Počet sester: / 
Počet hospitalizací: / 
Počet ambulantních vyšetření: /",12.704374,49.960356,3640402910,#2a4ea1,hotel,https://or.justice.cz/ias/ui/rejstrik-firma.vysledky?subjektId=102924&typ=UPLNY,3334803624,"soukromý vlastník - West Bohemia Medical Holding, a.s",127,/,/,/,/
