Okres,Obec,0-14_let_celkem,0-14_let_muzi,0-14_let_zeny,15-64_let_celkem,15-64_let_muzi,15-64_let_zeny,65+_let_celkem,65+_let_muzi,65+_let_zeny,Prumerny_vek_celkem,Prumerny_vek_muzi,Prumerny_vek_zeny,Index_stari
Okres Kutná Hora,Rašovice,15.02347418,13.88888889,16.19047619,65.25821596,69.44444444,60.95238095,19.71830986,16.66666667,22.85714286,43.21126761,43.47222222,42.94285714,131.25
Okres Kutná Hora,Rataje nad Sázavou,14.92805755,15.75342466,14.01515152,61.8705036,63.69863014,59.84848485,23.20143885,20.54794521,26.13636364,45.7176259,45.29109589,46.18939394,155.4216867
Okres Kutná Hora,Rohozec,16.50793651,19.25465839,13.63636364,60.95238095,60.86956522,61.03896104,22.53968254,19.8757764,25.32467532,45.28730159,43.57453416,47.07792208,136.5384615
Okres Kutná Hora,Řendějov,11.55378486,9.230769231,14.04958678,64.14342629,70,57.85123967,24.30278884,20.76923077,28.09917355,46.15338645,45.26153846,47.11157025,210.3448276
Okres Kutná Hora,Samopše,11.7370892,10.92436975,12.76595745,59.62441315,64.70588235,53.19148936,28.63849765,24.3697479,34.04255319,48.78638498,47.76890756,50.07446809,244
Okres Kutná Hora,Semtěš,17.21611722,14.81481481,19.56521739,58.24175824,62.22222222,54.34782609,24.54212454,22.96296296,26.08695652,43.91025641,44.41111111,43.42028986,142.5531915
Okres Kutná Hora,Schořov,13.18681319,16.32653061,9.523809524,61.53846154,61.2244898,61.9047619,25.27472527,22.44897959,28.57142857,46.11538462,43.82653061,48.78571429,191.6666667
Okres Kutná Hora,Slavošov,9.219858156,7.894736842,10.76923077,72.34042553,75,69.23076923,18.43971631,17.10526316,20,46.31560284,45.88157895,46.82307692,200
Okres Kutná Hora,Soběšín,12.56830601,9,16.86746988,58.46994536,66,49.39759036,28.96174863,25,33.73493976,47.90983607,47.43,48.48795181,230.4347826
Okres Kutná Hora,Souňov,17.76315789,15.27777778,20,63.81578947,66.66666667,61.25,18.42105263,18.05555556,18.75,42.68421053,43.88888889,41.6,103.7037037
